name,total.pop,white,black,hispanic,asian
"florida,seminole",422718,66.3,14,17.1,3.7
"florida,sumter",93420,82.8,10.8,6,0.7
"florida,suwannee",41551,77.7,13.3,8.7,0.5
"florida,taylor",22570,73,22.4,3.4,0.7
"florida,union",15535,71.6,23.6,4.8,0.2
"florida,volusia",494593,75.4,12.6,11.2,1.5
"florida,wakulla",30776,79.5,16.3,3.3,0.6
"florida,walton",55043,85.1,8.1,5.299999999999999,0.9000000000000001
"florida,washington",24896,78.5,17.1,2.9,0.5
"georgia,appling",18236,70.5,19.7,9.3,0.7
"georgia,atkinson",8375,57,18.9,24.3,0.3
"georgia,bacon",11096,76,16.6,7.1,0.3
"georgia,baker",3451,47.6,48,4.2,0.7
"georgia,baldwin",45720,54,42.7,2,1.3
"georgia,banks",18395,89.8,3.7,5.7,0.9
"georgia,barrow",69367,74.6,13.7,8.7,3.4
"georgia,bartow",100157,79.7,12.3,7.7,0.7
"georgia,ben hill",17634,57.6,35.9,5.8,0.7
"georgia,berrien",19286,83.2,12,4.6,0.4
"georgia,bibb",155547,42.1,53.6,2.8,1.6
"georgia,bleckley",13063,68.9,28.3,2.3,0.8000000000000002
"georgia,brantley",18411,93.4,4.4,1.9000000000000001,0.2
"georgia,brooks",16243,58,36.5,5.3,0.3
"georgia,bryan",30233,77.6,16.7,4.4,1.6
"georgia,bulloch",70217,65.9,29.3,3.5,1.5
"georgia,burke",23316,46.5,50.800000000000004,2.6,0.3
"georgia,butts",23655,68.5,28.7,2.5,0.5
"georgia,calhoun",6694,33.6,62.29999999999999,3.9,0.4000000000000001
"georgia,camden",50513,71.2,22.4,5.1,1.4
"georgia,candler",10998,63.199999999999996,25.400000000000002,11.2,0.5
"georgia,carroll",110527,72.9,20.4,6.2,0.8
"georgia,catoosa",63942,92.5,3.8,2.3,1.2
"georgia,charlton",12171,66.7,30,2.5,0.6
"georgia,chatham",265128,50.4,42.3,5.4,2.4
"georgia,chattahoochee",11267,62.89999999999999,23.300000000000004,12.400000000000002,2.2
"georgia,chattooga",26015,83,12.7,4,0.4
"georgia,cherokee",214346,81.3,7.7,9.6,1.7
"georgia,clarke",116714,57.1,28.7,10.4,4.2
"georgia,clay",3183,37.3,61.60000000000001,0.8,0.3
"georgia,clayton",259424,14.1,68.6,13.7,5
"georgia,clinch",6798,66.7,29.1,3.5,0.2
"georgia,cobb",688078,56.3,27.699999999999996,12.3,4.5
"georgia,coffee",42356,61.2,28,10.3,0.7
"georgia,colquitt",45498,58.8,23.9,17.1,0.6
"georgia,columbia",124053,73.8,17.7,5,3.8
"georgia,cook",17212,64.9,28.7,5.9,0.7
"georgia,coweta",127317,72.7,19.4,6.7,1.5
"georgia,crawford",12630,73.5,23.6,2.4,0.3
"georgia,crisp",23439,52.10000000000001,44,3.2,0.8
"georgia,dade",16633,95,2.2,1.8,0.7
"georgia,dawson",22330,93.4,1.8,4.1,0.6
"georgia,decatur",27842,52.5,42.3,5,0.5
"georgia,de kalb",NA,NA,NA,NA,NA
"georgia,dodge",21796,65.5,30.8,3.4,0.5
"georgia,dooly",14918,43.3,50.8,5.8,0.6
"georgia,dougherty",94565,28.9,68.3,2.2,0.8
"georgia,douglas",132403,49,41.9,8.4,1.4
"georgia,early",11008,47.699999999999996,50.4,1.5999999999999999,0.3
"georgia,echols",4034,63.3,7.1,29.3,0.3
"georgia,effingham",52250,81,15.4,2.9,0.8
"georgia,elbert",20166,64.2,30.5,4.8,0.6
"georgia,emanuel",22598,60.8,34.4,4.1,0.7
"georgia,evans",11000,56.6,30.2,13.1,0.7
"georgia,fannin",23682,96.1,1.5,1.8,0.3
"georgia,fayette",106567,67.8,22.3,6.3,3.9
"georgia,floyd",96317,73.7,16,9.3,1.3
"georgia,forsyth",175511,80.3,4.2,9.4,6.2
"georgia,franklin",22084,85.6,10.1,3.8999999999999995,0.5
"georgia,fulton",920581,40.8,46.3,7.9,5.6
"georgia,gilmer",28292,88.6,1.8,9.5,0.3
"georgia,glascock",3082,89.2,9.3,1.1,0
"georgia,glynn",79626,64.8,27.800000000000004,6.4,1.2
"georgia,gordon",55186,79.9,5.6,14,1
"georgia,grady",25011,59.5,30.3,10,0.4000000000000001
"georgia,greene",15994,54.8,39.3,5.6,0.3
"georgia,gwinnett",805321,44,26.8,20.1,10.6
"georgia,habersham",43041,80.4,5.1,12.4,2.2
"georgia,hall",179684,63.6,9.6,26.1,1.8
"georgia,hancock",9429,23.5,74.7,1.5,0.5
"georgia,haralson",28780,92.1,6.1,1.1,0.5
"georgia,harris",32024,77.6,18.7,2.7,0.9
"georgia,hart",25213,76.2,19.9,3.1,0.9
"georgia,heard",11834,86.1,11.5,1.9,0.5
"georgia,henry",203922,52.5,39.4,5.799999999999999,2.8999999999999995
"georgia,houston",139900,60.5,31.3,6.1,2.4
"georgia,irwin",9538,70.4,26.8,2.4,0.6
"georgia,jackson",60485,83.8,8.5,6.2,1.7
"georgia,jasper",13900,72.6,23.5,3.7,0.2
"georgia,jeff davis",15068,73.4,16,10.5,0.5
"georgia,jefferson",16930,41.4,55.3,3.1,0.4
"georgia,jenkins",8340,54.1,41.7,4,0.4
"georgia,johnson",9980,62.3,35.8,1.9,0.2
"georgia,jones",28669,72.7,25.5,1.1,0.7
"georgia,lamar",18317,65.2,32.5,1.8999999999999997,0.4
"georgia,lanier",10078,68.5,26.099999999999998,4.6,1
"georgia,laurens",48434,59.7,37,2.4,1
"georgia,lee",28298,75.8,20,2,2.2
"georgia,liberty",63453,42.7,46.9,9.7,2
"georgia,lincoln",7996,65,33.1,1.2,0.4
"georgia,long",14464,58.7,28.6,12.3,0.8
"georgia,lowndes",109233,56.1,38,4.8,1.5
"georgia,lumpkin",29966,91.8,2.9,4.5,0.5
"georgia,mcduffie",21875,56.3,41.2,2.2,0.3
"georgia,mcintosh",14333,60.79999999999999,37.20000000000001,1.6000000000000003,0.3
"georgia,macon",14740,33.7,61.6,3.6,1.3
"georgia,madison",28120,85.7,9.6,4.1,0.6
"georgia,marion",8742,58.3,34.3,6.5,0.9
"georgia,meriwether",21992,57.3,40.3,1.6,0.6
"georgia,miller",6125,69.2,29.2,1.5,0.5
"georgia,mitchell",23498,46.4,48.7,4.4,0.5
"georgia,monroe",26424,72.3,24.800000000000004,2,0.8
"georgia,montgomery",9123,67.3,27.4,5.3,0.3
"georgia,morgan",17868,71.7,24.8,2.8,0.6
"georgia,murray",39628,85,2.2,13,0.3
"georgia,muscogee",189885,43.7,48.5,6.4,2.2
"georgia,newton",99958,52,43,4.6,0.9
"georgia,oconee",32808,86.3,6.4,4.4,3.1
"georgia,oglethorpe",14899,76.7,19.1,3.7,0.4
"georgia,paulding",142324,75,19.4,5.1,0.9
"georgia,peach",27695,45.1,47.4,6.8,0.8
"georgia,pickens",29431,94.5,2.2,2.8,0.4
"georgia,pierce",18758,84.6,10.3,4.7,0.3
"georgia,pike",17869,86.8,11.6,1.1,0.3
"georgia,polk",41475,73.5,14.3,11.8,0.7
"georgia,pulaski",12010,62.4,32.9,3.9,0.9
"georgia,putnam",21218,66.1,27.2,6.3,0.5
"georgia,quitman",2513,50.3,48.3,1.4,0.1
"georgia,rabun",16276,88.9,2.5,8,0.7
"georgia,randolph",7719,36,62.6,1.5,0.3
"georgia,richmond",200549,38,56.8,4.1,1.7
"georgia,rockdale",85215,40.9,48.6,9.5,1.8
"georgia,schley",5010,72.1,24.3,3.2,0.7
"georgia,screven",14593,54.1,44.4,1.2,0.4
"georgia,seminole",8729,63.2,34.4,2.3,0.4
"georgia,spalding",64073,60.8,34.5,3.8,0.9
"georgia,stephens",26175,84.1,12.8,2.4,0.7
"georgia,stewart",6058,27.3,48.3,24,0.7
"georgia,sumter",32819,40.9,53,5.2,1.3
"georgia,talbot",6865,38.4,60.2,1.3,0.1
"georgia,taliaferro",1717,36.4,61,2,0.6
"georgia,tattnall",25520,59.5,30.6,9.8,0.4
"georgia,taylor",8906,57.5,40.2,1.8,0.6
"georgia,telfair",16500,51.1,38.2,12.3,0.6
"georgia,terrell",9315,36.1,62.1,1.7,0.3
"georgia,thomas",44720,58.3,38.1,2.9,0.7
"georgia,tift",40118,58.7,30.5,10.1,1.3
"georgia,toombs",27223,62,26.4,11.2,0.7
"georgia,towns",10471,96.5,1,2,0.4000000000000001
